,type,length_comment,var_length,links_count,qm_count,exm_count,img_count,music_count,dots_count,ht_count,me_count,I-E,N-S,T-F,J-P
0,INFJ,11.12,0.17974993327512315,0.48,0.36,0.06,0.12,0.02,0.3,0.0,1.18,1,0,0,0
1,ENTP,23.4,0.184468936246192,0.2,0.1,0.0,0.02,0.0,0.38,0.0,3.06,0,0,1,1
2,INTP,16.72,0.1840100504234724,0.1,0.24,0.08,0.0,0.0,0.26,0.0,1.44,1,0,1,1
3,INTJ,21.28,0.18663994130415476,0.04,0.22,0.06,0.0,0.02,0.52,0.0,2.18,1,0,1,0
4,ENTJ,19.34,0.17872297102416185,0.12,0.2,0.02,0.04,0.02,0.42,0.0,1.48,0,0,1,0
5,INTJ,29.82,0.18442131148125424,0.02,0.2,0.0,0.0,0.0,0.78,0.0,2.7,1,0,1,0
6,INFJ,26.58,0.18430194339707912,0.04,0.26,0.06,0.0,0.02,0.74,0.0,2.82,1,0,0,0
7,INTJ,24.46,0.18134081075404326,0.02,0.7,0.0,0.0,0.04,0.56,0.0,1.14,1,0,1,0
8,INFJ,14.76,0.18395341312349842,0.46,0.44,0.02,0.02,0.02,0.34,0.0,1.3,1,0,0,0
9,INTP,24.66,0.1768294999667744,0.14,0.26,0.06,0.0,0.02,0.48,0.0,1.26,1,0,1,1
10,INFJ,29.08,0.18519722360511665,0.02,0.46,0.2,0.0,0.0,0.88,0.0,2.68,1,0,0,0
11,ENFJ,15.94,0.18844895290304214,0.06,0.14,0.56,0.0,0.0,0.38,0.0,3.58,0,0,0,0
12,INFJ,25.0,0.18579377767128796,0.0,0.28,0.16,0.0,0.04,0.64,0.0,2.82,1,0,0,0
13,INTJ,31.9,0.181568682817145,0.0,0.18,0.12,0.0,0.0,0.84,0.0,3.36,1,0,1,0
14,INTP,17.68,0.17669835209052753,0.06,0.04,0.04,0.0,0.0,0.3,0.0,2.1,1,0,1,1
15,INTP,24.24,0.18264670988782278,0.02,0.22,0.08,0.0,0.0,0.6,0.0,2.74,1,0,1,1
16,INFJ,27.52,0.18279510739435095,0.08,0.2,0.4,0.06,0.0,0.86,0.02,3.46,1,0,0,0
17,INFP,32.74,0.18358067754398572,0.0,0.06,0.2,0.0,0.04,0.94,0.0,4.24,1,0,0,1
18,INFJ,30.6,0.17664165469692616,0.0,0.12,0.12,0.0,0.02,0.76,0.0,2.96,1,0,0,0
19,INFP,22.78,0.1875,0.0,0.2,0.1,0.0,0.0,0.62,0.06,1.9,1,0,0,1
20,INTP,21.7,0.1777654954968171,0.02,0.16,0.04,0.0,0.0,0.42,0.0,1.34,1,0,1,1
21,INFJ,22.02,0.18064215372064565,0.26,0.4,0.02,0.0,0.0,0.72,0.0,2.3,1,0,0,0
