date,text,retweets,replies,favorites,permalink,to,hashtags,mentions
2020-02-25,Teslas in a tunnel. Happening in Vegas rn.,161,125,2749,https://twitter.com/elonmusk/status/1232219164200312833,cleantechnica,,
2020-02-22,Getting there was super hard. Very proud of Tesla team!,568,615,20926,https://twitter.com/elonmusk/status/1231332796964032512,,,
2020-02-21,"Btw, in some prior tweets I’d said production Cybertruck would be ~80” wide (vs ~84” body width at unveil). This is slightly too small. Will be closer to 82”, but come standard with upper laser blade lights.",236,324,4287,https://twitter.com/elonmusk/status/1230959056128372736,elonmusk,,
2020-02-17,"All orgs developing advanced AI should be regulated, including Tesla",265,109,1904,https://twitter.com/elonmusk/status/1229546793811226627,elonmusk,,
2020-02-16,"Tesla is ramping up Solar Roof installation across the USA! Training will be provided, so no prior experience needed. Apply at",5362,1976,50923,https://twitter.com/elonmusk/status/1228849721013346304,,,
2020-02-15,Tesla Model S estimated EPA range is now above 390 miles or ~630 km,3717,1769,48937,https://twitter.com/elonmusk/status/1228540886826418178,,,
2020-02-10,This is incorrect. No air suspension planned for 3/Y. Only S/X & Cybertruck have/will have air suspension.,507,380,9586,https://twitter.com/elonmusk/status/1226989747098263552,Teslarati,,
2020-02-10,The degree to which SolarGlass will positively effect the esthetics & energy sustainability of neighborhoods throughout the world is not yet well appreciated. This is a very important product.,1300,628,20384,https://twitter.com/elonmusk/status/1226927146154758144,,,
2020-02-10,"Tesla April company talk will be from our Giga New York factory, where we make SolarGlass & several other products. Will also offer customer & media tours.",1949,1016,37323,https://twitter.com/elonmusk/status/1226926073532862465,,,
2020-02-10,Should preface this saying that feedback from early Tesla Solar roof owners has been v positive. It’s stunning vs a regular roof in person imo. Photos don’t do it justice.,316,499,10192,https://twitter.com/elonmusk/status/1226924143527940096,,,
2020-02-10,"Its integrated roof & solar, so should be light enough for almost any home",55,25,1097,https://twitter.com/elonmusk/status/1226923349479018496,brittanygayle98,,
2020-02-10,"No problem. Snow and ice tend to slide off the Tesla SolarGlass due to lower surface roughness, so accumulates less than a normal roof. Even so, it’s very strong and can be walked on without breaking the glass tiles.",88,89,1206,https://twitter.com/elonmusk/status/1226922175715627008,O2SupremeVermin,,
2020-02-10,Sounds like we should open a Tesla Center there!,38,20,644,https://twitter.com/elonmusk/status/1226920273753997316,G_d_Photographr,,
2020-02-10,Please let us know what improvements we can make to any aspect of Tesla SolarGlass roof! Critical feedback is much appreciated.,616,2029,19201,https://twitter.com/elonmusk/status/1226920048918269952,,,
2020-02-09,"Hard to believe that is high efficiency solar power seamlessly integrated into beautiful roof tiles. Great work by SolarGlass engineering, Giga NY factory & Tesla installation teams!",955,675,23202,https://twitter.com/elonmusk/status/1226635243408543750,,,
2020-02-09,Order at https://www.tesla.com/solarroof,7987,2551,101468,https://twitter.com/elonmusk/status/1226634613151412224,Tesla,,
2020-02-03,"Ok sure Btw, we recruit great engineers from almost anywhere in the world, so this shouldn’t be thought of as USA only. Also, work location can be Bay Area (preferred), but Austin (many of our chip designers are there) or potentially any Tesla Gigafactory.",238,254,5231,https://twitter.com/elonmusk/status/1224218624514314240,flcnhvy,,
2020-02-02,Tesla will hold a super fun AI party/hackathon at my house with the Tesla AI/autopilot team in about four weeks. Invitations going out soon.,6122,7391,110508,https://twitter.com/elonmusk/status/1224087317364854785,,,
2020-02-02,"Tesla will soon have over a million connected vehicles worldwide with sensors & compute needed for full self-driving, which is orders of magnitude more than everyone else combined, giving you the best possible dataset to work with",1003,465,13693,https://twitter.com/elonmusk/status/1224045120670064641,,,
2020-02-02,"“At Tesla, using AI to solve self-driving isn’t just icing on the cake, it the cake” - @lexfridman Join AI at Tesla! It reports directly to me &amp; we meet/email/text almost every day. My actions, not just words, show how critically I view (benign) AI.",5362,1775,46915,https://twitter.com/elonmusk/status/1224043531951583233,,,@lexfridman
2020-01-29,A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago,37648,4488,366829,https://twitter.com/elonmusk/status/1222597315023654912,,,
2020-01-25,"A Tesla works as a boat for short periods of time, as an electric car has no air intake or exhaust to block & battery/motor/electronics are water-sealed. Submarines are just underwater EVs. https://m.youtube.com/watch?v=cBYFo6fXPvU",5210,1312,48328,https://twitter.com/elonmusk/status/1221176639339425792,ThingsWork,,
